This File produces a vesicle with diameter =    50.000000

21702 atoms
3202 bonds
8346 ellipsoids

7 atom types
3 bond types

-35 35 xlo xhi
-35 35 ylo yhi
-35 35 zlo zhi


Atoms

85 1  -3.646378e+00 -3.138032e+00 2.453386e+01  1 2.387324e-01 5.235988e-01 2.387324e-01 0 
86 1  -2.946150e+00 -3.807704e+00 2.453791e+01  1 2.387324e-01 5.235988e-01 2.387324e-01 0 
87 2  -2.114162e+00 -4.320084e+00 2.453469e+01  1 2.387324e-01 5.235988e-01 2.387324e-01 0 
88 1  -1.200058e+00 -4.662924e+00 2.453257e+01  1 2.387324e-01 5.235988e-01 2.387324e-01 0 
89 1  -2.402134e-01 -4.803085e+00 2.453795e+01  1 2.387324e-01 5.235988e-01 2.387324e-01 0 
90 1  7.352279e-01 -4.753141e+00 2.454086e+01  1 2.387324e-01 5.235988e-01 2.387324e-01 0 
91 1  1.674008e+00 -4.514571e+00 2.453979e+01  1 2.387324e-01 5.235988e-01 2.387324e-01 0 
92 2  2.548986e+00 -4.083912e+00 2.453285e+01  1 2.387324e-01 5.235988e-01 2.387324e-01 0 
93 1  3.324617e+00 -3.491882e+00 2.453826e+01  1 2.387324e-01 5.235988e-01 2.387324e-01 0 
94 1  3.962071e+00 -2.749151e+00 2.453802e+01  1 2.387324e-01 5.235988e-01 2.387324e-01 0 
95 1  4.436701e+00 -1.895078e+00 2.453649e+01  1 2.387324e-01 5.235988e-01 2.387324e-01 0 
96 1  4.720485e+00 -9.671957e-01 2.453573e+01  1 2.387324e-01 5.235988e-01 2.387324e-01 0 
97 1  5.771085e+00 6.831118e-03 2.432996e+01  1 2.387324e-01 5.235988e-01 2.387324e-01 0 
98 1  5.687161e+00 9.834686e-01 2.433454e+01  1 2.387324e-01 5.235988e-01 2.387324e-01 0 
99 1  5.436182e+00 1.926388e+00 2.432863e+01  1 2.387324e-01 5.235988e-01 2.387324e-01 0 
100 1  5.036644e+00 2.814408e+00 2.432904e+01  1 2.387324e-01 5.235988e-01 2.387324e-01 0 
101 1  4.487307e+00 3.631222e+00 2.433173e+01  1 2.387324e-01 5.235988e-01 2.387324e-01 0 
102 1  3.816995e+00 4.328566e+00 2.433239e+01  1 2.387324e-01 5.235988e-01 2.387324e-01 0 
103 1  3.025952e+00 4.915666e+00 2.433062e+01  1 2.387324e-01 5.235988e-01 2.387324e-01 0 
104 1  2.154951e+00 5.359131e+00 2.433477e+01  1 2.387324e-01 5.235988e-01 2.387324e-01 0 
105 1  1.216306e+00 5.641158e+00 2.433566e+01  1 2.387324e-01 5.235988e-01 2.387324e-01 0 
106 1  2.507102e-01 5.769769e+00 2.433429e+01  1 2.387324e-01 5.235988e-01 2.387324e-01 0 
107 1  -7.296784e-01 5.721420e+00 2.433332e+01  1 2.387324e-01 5.235988e-01 2.387324e-01 0 
108 1  -1.681699e+00 5.517951e+00 2.432734e+01  1 2.387324e-01 5.235988e-01 2.387324e-01 0 
109 1  -2.588711e+00 5.157184e+00 2.432695e+01  1 2.387324e-01 5.235988e-01 2.387324e-01 0 
110 1  -3.420815e+00 4.637509e+00 2.433451e+01  1 2.387324e-01 5.235988e-01 2.387324e-01 0 
111 1  -4.157858e+00 3.997570e+00 2.432963e+01  1 2.387324e-01 5.235988e-01 2.387324e-01 0 
112 1  -4.775849e+00 3.229860e+00 2.433518e+01  1 2.387324e-01 5.235988e-01 2.387324e-01 0 
113 1  -5.251304e+00 2.379152e+00 2.433190e+01  1 2.387324e-01 5.235988e-01 2.387324e-01 0 
